address,description,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2808 Hoyt Ave,NA,Everett,WA,98201,1795000,15319.0,31.0,5.0,108,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2808-Hoyt-Ave-Everett-WA-98201/2100900766_zpid/
3600 Grand Ave,NA,EVERETT,WA,98201,215000,NA,NA,NA,79,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/3600-Grand-Ave-Everett-WA-98201/38496752_zpid/
2023 Colby Ave,NA,Everett,WA,98201,899000,3346.0,3.0,8.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2023-Colby-Ave-Everett-WA-98201/81367708_zpid/
2211 Mcdougall Ave,NA,Everett,WA,98201,365000,1585.0,3.0,2.0,116,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/2211-Mcdougall-Ave-Everett-WA-98201/38481981_zpid/
3024 Grand Ave,NA,EVERETT,WA,98201,750000,8712.0,NA,NA,66,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/3024-Grand-Ave-Everett-WA-98201/38491957_zpid/
3312 Hoyt Ave,NA,Everett,WA,98201,1400000,7140.0,0.0,NA,164,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3312-Hoyt-Ave-Everett-WA-98201/38491579_zpid/
4111 37th Ave NE,NA,Everett,WA,98201,1500000,NA,NA,NA,203,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/4111-37th-Ave-NE-Everett-WA-98201/2093213599_zpid/
3402 Colby Ave,NA,Everett,WA,98201,435000,NA,NA,NA,233,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/3402-Colby-Ave-Everett-WA-98201/2105782181_zpid/
1913 Rockefeller Ave,NA,Everett,WA,98201,300000,1496.0,3.0,1.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1913-Rockefeller-Ave-Everett-WA-98201/38492405_zpid/
2119 Pine St,NA,Everett,WA,98201,355000,2490.0,3.0,2.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2119-Pine-St-Everett-WA-98201/38513985_zpid/
Oakes Ave,NA,Everett,WA,98201,NA,1404.0,3.0,1.0,354,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/177875957_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Grand Ave,NA,Everett,WA,98201,NA,1186.0,3.0,1.0,448,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/177875961_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Maple St,NA,Everett,WA,98201,NA,1666.0,3.0,1.0,313,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/177902441_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Maple St,NA,Everett,WA,98201,NA,771.0,2.0,1.0,763,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/177927139_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Baker Ave,NA,Everett,WA,98201,NA,960.0,2.0,1.0,745,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/178051203_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Chestnut St,NA,Everett,WA,98201,NA,1261.0,2.0,1.5,451,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/178051215_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Grand Ave,NA,Everett,WA,98201,NA,1012.0,2.0,2.0,258,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/239683716_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Hoyt Ave,NA,Everett,WA,98201,NA,1037.0,2.0,1.0,238,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/240063950_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Wetmore Ave,NA,Everett,WA,98201,NA,1080.0,3.0,1.0,173,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/241942690_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Rainier Ave,NA,Everett,WA,98201,NA,1158.0,2.0,1.0,199,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/241616394_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Oakes Ave,NA,Everett,WA,98201,NA,1883.0,4.0,1.0,34,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/245139193_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Colby Ave APT 304,NA,Everett,WA,98201,NA,1025.0,2.0,1.0,144,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/243158217_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
24th St,NA,Everett,WA,98201,NA,1324.0,3.0,1.0,131,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/177927136_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Rockefeller Ave,NA,Everett,WA,98201,NA,1536.0,3.0,1.5,203,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/241548070_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Baker Ave,NA,Everett,WA,98201,NA,702.0,2.0,1.0,123,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/243594139_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Colby Ave APT 304,NA,Everett,WA,98201,NA,1025.0,2.0,1.0,144,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/243158217_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Baker Ave,NA,Everett,WA,98201,NA,702.0,2.0,1.0,123,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/243594139_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Cleveland Ave,NA,Everett,WA,98201,NA,728.0,3.0,2.0,119,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/243594138_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
