138,"Green-Beckham, Dorial TEN WR",142.65
139,"Jets, New York NYJ Def",142.67
140,"Seferian-Jenkins, Austin TBB TE",142.77
141,"Campbell, Calais ARI DE",143.34
142,"Palmer, Carson ARI QB",143.71
143,"Hill, Josh NOS TE",144.21
144,"Cardinals, Arizona ARI Def",144.31
145,"Winston, Jameis TBB QB",144.49
146,"Hauschka, Steven SEA PK",147.03
147,"Mariota, Marcus TEN QB",147.99
148,"Jones, Reshad MIA S",149.2
149,"Sims, Charles TBB RB",149.75
150,"Johnson, Stevie SDC WR",149.85
151,"Dunlap, Carlos CIN DE",150.11
152,"Stills, Kenny MIA WR",150.66
153,"Carr, Derek OAK QB",151.85
154,"Tucker, Justin BAL PK",152.1
155,"Crosby, Mason GBP PK",152.19
156,"Moncrief, Donte IND WR",152.62
157,"Williams, Mario BUF DE",153
158,"Ajayi, Jay MIA RB",153.32
159,"Crabtree, Michael OAK WR",153.61
160,"Fleener, Coby IND TE",153.63
161,"Lee, Sean DAL LB",153.87
162,"Dalton, Andy CIN QB",154.56
163,"Packers, Green Bay GBP Def",155.45
164,"Kendricks, Mychal PHI LB",155.59
165,"Latimer, Cody DEN WR",155.63
166,"Jones, Matt WAS RB",156.18
167,"Cutler, Jay CHI QB",156.25
168,"Ebron, Eric DET TE",156.58
169,"Dorsett, Phillip IND WR",157.13
170,"Hillman, Ronnie DEN RB",158.58
171,"Panthers, Carolina CAR Def",158.64
172,"Davis, Vernon DEN TE",158.75
173,"Williams, DeAngelo PIT RB",159.66
174,"Bailey, Dan DAL PK",159.71
175,"Patriots, New England NEP Def",159.78
176,"Randle, Rueben NYG WR",160.08
177,"Ansah, Ezekiel DET DE",161.26
178,"Pierre-Paul, Jason NYG DE",161.29
179,"Cyprien, Johnathan JAC S",162.86
180,"Ravens, Baltimore BAL Def",163.29
181,"Ninkovich, Rob NEP DE",163.53
182,"Bortles, Blake JAC QB",163.62
183,"Baldwin, Doug SEA WR",164.41
184,"Jackson, D'Qwell IND LB",164.67
185,"Williams, Andre NYG RB",165.05
186,"McKinnon, Jerick MIN RB",165.27
187,"Williams, Maxx BAL TE",166.8
188,"Jones, Marvin CIN WR",166.88
189,"Ball, Montee FA* RB",166.97
190,"Marshall, Brandon DEN LB",167.46
191,"Chiefs, Kansas City KCC Def",167.53
192,"Miller, Heath PIT TE",167.75
193,"Lockett, Tyler SEA WR",168.16
194,"Reed, Jordan WAS TE",168.31
195,"Strong, Jaelen HOU WR",169.28
196,"McManus, Brandon DEN PK",169.63
197,"Kendricks, Eric MIN LB",170.03
198,"Helu, Roy OAK RB",170.32
199,"Foles, Nick STL QB",171.1
200,"Clinton-Dix, Ha Ha GBP S",171.45
201,"Shazier, Ryan PIT LB",171.63
202,"Smith, Alex KCC QB",173.12
203,"Rodgers, Richard GBP TE",173.37
204,"Michael, Christine SEA RB",173.73
205,"Bryant, Matt ATL PK",173.75
206,"Jenkins, Jelani MIA LB",173.98
207,"Lions, Detroit DET Def",174.44
208,"Artis-Payne, Cameron CAR RB",176
209,"Matthews, Clay GBP LB",176.5
210,"Jones, James GBP WR",176.63
211,"Jackson, Fred SEA RB",176.81
212,"Smith, Telvin JAC LB",176.92
213,"Wayne, Reggie FA* WR",177.06
214,"Prater, Matt DET PK",178.02
215,"Coleman, Brandon NOS WR",178.07
216,"Wilkerson, Muhammad NYJ DE",178.52
217,"Donald, Aaron STL DT",178.76
218,"Vikings, Minnesota MIN Def",179.2
219,"Allen, Javorius BAL RB",179.84
220,"Gray, Jonas JAC RB",179.88
221,"Bengals, Cincinnati CIN Def",180.33
222,"Steelers, Pittsburgh PIT Def",182.2
223,"Patterson, Cordarrelle MIN WR",182.22
224,"Timmons, Lawrence PIT LB",183.84
225,"Barth, Connor TBB PK",184.58
226,"Janikowski, Sebastian OAK PK",184.84
227,"Cowboys, Dallas DAL Def",185.11
228,"Robinson, Denard JAC RB",185.66
229,"Laurinaitis, James STL LB",185.89
230,"Colts, Indianapolis IND Def",186.13
231,"49ers, San Francisco SFO Def",186.13
232,"Hurns, Allen JAC WR",187.26
233,"Robinson, Keenan WAS LB",188.5
234,"Scobee, Josh FA PK",188.8
235,"Starks, James GBP RB",189.19
236,"Carpenter, Dan BUF PK",189.21
237,"Griffin III, Robert WAS QB",189.84
238,"Walsh, Blair MIN PK",190.16
239,"Thomas, Earl SEA S",190.19
240,"Anthony, Stephone NOS LB",191.49
241,"Browns, Cleveland CLE Def",191.85
242,"Langford, Jeremy CHI RB",192.44
243,"Johnson, Derrick KCC LB",192.53
244,"Taylor, Tyrod BUF QB",192.74
245,"Janis, Jeff GBP WR",193.29
246,"West, Terrance BAL RB",193.63
247,"Hardy, Greg DAL DE",194.03
248,"McCoy, Gerald TBB DT",194.7
249,"Britt, Kenny STL WR",195.61
250,"Bowe, Dwayne CLE WR",195.9
251,"Cox, Fletcher PHI DE",196.47
252,"Gould, Robbie CHI PK",197.74
253,"Chancellor, Kam SEA S",198.31
254,"Herron, Dan IND RB",198.73
255,"Dawson, Phil SFO PK",200.32
256,"Collins, Landon NYG S",201.45
257,"Robinson, Josh FA RB",201.48
258,"Giants, New York NYG Def",201.61
259,"Austin, Tavon STL WR",201.8
260,"Floyd, Malcom SDC WR",202.03
261,"Lofton, Curtis OAK LB",202.35
262,"Hartley, Garrett FA* PK",202.48
263,"Cousins, Kirk WAS QB",202.77
264,"Dareus, Marcell BUF DT",203.88
265,"Catanzaro, Chandler ARI PK",204.45
266,"Jordan, Cameron NOS DE",204.88
267,"Lee, Marqise JAC WR",204.95
268,"Diggs, Stefon MIN WR",205.13
269,"White, James NEP RB",205.47
270,"Conley, Chris KCC WR",205.5
271,"Zuerlein, Greg STL PK",205.54
272,"Novak, Nick HOU PK",205.68
273,"Brown, Josh NYG PK",206.04
274,"Amendola, Danny NEP WR",206.41
275,"Beasley, Cole DAL WR",206.54
276,"Sanu, Mohamed CIN WR",207.14
277,"Buccaneers, Tampa Bay TBB Def",207.26
278,"Dansby, Karlos CLE LB",207.74
279,"Shorts, Cecil HOU WR",209.07
280,"Coates, Sammie PIT WR",209.75
281,"Watson, Ben NOS TE",210.04
282,"Falcons, Atlanta ATL Def",211.15
283,"Fitzpatrick, Ryan NYJ QB",213.23
284,"Bears, Chicago CHI Def",213.72
285,"Bullock, Randy NYJ PK",213.74
286,"Sturgis, Caleb PHI PK",213.97
287,"Hughes, Jerry BUF DE",214.03
288,"Williams, Karlos BUF RB",214.39
289,"Cook, Jared STL TE",214.88
290,"Hardy, Justin ATL WR",215.04
291,"Hopkins, Dustin WAS PK",215.46
292,"Jaguars, Jacksonville JAC Def",215.65
293,"Riddick, Theo DET RB",216.36
294,"Chargers, San Diego SDC Def",216.91
295,"Saints, New Orleans NOS Def",217.51
296,"Walford, Clive OAK TE",219.55
297,"Davis, Mike SFO RB",219.88
298,"Gano, Graham CAR PK",222.16
299,"Nugent, Mike CIN PK",224.25
300,"Hoyer, Brian HOU QB",224.44
